ID,Type,Name,Value,Priority
933,L,Device_933,127.65,3
934,L,Device_934,183.86,3
935,L,Device_935,204.36,3
936,L,Device_936,160.88,3
937,L,Device_937,245.18,3
938,L,Device_938,195.7,1
939,L,Device_939,170.28,1
940,L,Device_940,148.48,3
941,S,Device_941,854.81,0
942,L,Device_942,193.73,2
943,L,Device_943,198.96,2
944,L,Device_944,243.92,3
945,L,Device_945,280.45,3
946,L,Device_946,121.61,1
947,L,Device_947,188.72,3
948,L,Device_948,184.41,3
949,L,Device_949,203.66,3
950,L,Device_950,233.57,1
951,L,Device_951,177.23,1
952,L,Device_952,165.0,3
953,L,Device_953,232.15,1
954,L,Device_954,163.58,1
955,L,Device_955,227.23,2
956,L,Device_956,256.41,2
957,L,Device_957,237.7,1
958,L,Device_958,228.24,1
959,L,Device_959,175.61,1
960,L,Device_960,79.79,2
961,L,Device_961,151.5,1
962,S,Device_962,1616.14,0
963,L,Device_963,153.03,2
964,L,Device_964,233.94,2
965,L,Device_965,163.32,1
966,L,Device_966,,3
967,L,Device_967,144.03,3
968,L,Device_968,192.21,3
969,L,Device_969,178.79,1
970,L,Device_970,212.45,1
971,L,Device_971,220.62,3
972,L,Device_972,190.49,1
973,L,Device_973,292.66,2
974,L,Device_974,164.87,1
975,L,Device_975,159.96,2
976,L,Device_976,221.65,1
977,L,Device_977,185.87,3
978,L,Device_978,107.49,2
979,L,Device_979,274.23,3
980,L,Device_980,258.54,1
981,L,Device_981,149.94,3
982,L,Device_982,181.53,3
983,L,Device_983,215.69,1
984,L,Device_984,213.14,1
985,L,Device_985,311.76,1
986,L,Device_986,186.31,2
987,L,Device_987,153.59,1
988,L,Device_988,258.85,3
989,L,Device_989,167.49,2
990,L,Device_990,196.4,1
991,L,Device_991,218.88,1
992,L,Device_992,163.86,1
993,L,Device_993,282.91,3
994,L,Device_994,207.45,1
995,L,Device_995,188.78,3
996,L,Device_996,243.72,1
997,L,Device_997,297.48,3
998,L,Device_998,223.84,1
999,L,,100,3
1000,L,Device_1000,198.99,3
1001,L,Device_1001,178.03,3
1002,L,Device_1002,180.78,3
1003,L,Device_1003,216.29,3
1004,L,Device_1004,246.25,1
1005,L,,100,3
1006,L,Device_1006,192.74,1
1007,L,Device_1007,225.01,1
1008,L,Device_1008,215.1,2
1009,L,Device_1009,195.85,1
1010,L,Device_1010,118.03,3
1011,L,Device_1011,159.05,3
1012,L,Device_1012,172.41,1
1013,L,Device_1013,164.86,3
1014,L,Device_1014,223.24,2
1015,L,Device_1015,145.92,1
1016,L,Device_1016,153.9,3
1017,S,Device_1017,1376.95,0
1018,L,Device_1018,134.6,3
1019,S,Device_1019,1143.83,0
1020,L,Device_1020,161.34,3
1021,L,Device_1021,184.13,1
1022,L,Device_1022,166.98,1
1023,L,Device_1023,95.2,3
1024,L,Device_1024,121.73,3
1025,L,Device_1025,319.59,1
1026,L,Device_1026,243.04,2
1027,L,Device_1027,215.14,3
1028,L,Device_1028,237.3,1
1029,L,Device_1029,131.68,1
1030,L,Device_1030,168.88,3
1031,S,Device_1031,1518.91,0
1032,L,Device_1032,178.3,1
1033,L,Device_1033,138.63,1
1034,L,Device_1034,188.21,1
1035,L,Device_1035,273.53,3
1036,L,Device_1036,104.3,1
1037,L,Device_1037,117.48,3
1038,L,Device_1038,214.11,3
1039,L,Device_1039,127.79,3
1040,L,Device_1040,235.44,3
1041,L,Device_1041,212.46,1
1042,L,Device_1042,152.16,1
1043,L,Device_1043,210.29,3
1044,L,Device_1044,186.98,1
1045,S,Device_1045,1294.53,0
1046,L,Device_1046,170.54,1
1047,L,Device_1047,190.97,1
1048,L,Device_1048,199.47,3
1049,L,Device_1049,185.1,1
1050,L,Device_1050,128.05,2
1051,L,Device_1051,246.93,1
1052,L,Device_1052,162.93,3
1053,L,Device_1053,223.56,1
1054,L,Device_1054,169.73,3
1055,L,Device_1055,205.55,3
1056,L,Device_1056,168.6,1
1057,L,Device_1057,183.65,1
1058,L,Device_1058,230.03,3
1059,L,Device_1059,102.66,2
1060,L,Device_1060,284.29,1
1061,L,Device_1061,75.4,1
1062,L,Device_1062,192.25,2
1063,L,Device_1063,241.11,2
1064,L,Device_1064,226.01,1
1065,L,Device_1065,250.49,1
1066,S,Device_1066,1422.84,0
1067,L,Device_1067,184.71,3
1068,S,Device_1068,1462.16,0
1069,L,Device_1069,229.93,3
1070,L,Device_1070,266.87,1
1071,L,Device_1071,185.7,3
1072,S,Device_1072,1314.72,0
1073,L,Device_1073,195.7,3
1074,L,Device_1074,104.63,3
1075,L,Device_1075,237.29,1
1076,L,Device_1076,271.26,3
1077,L,Device_1077,172.9,1
1078,L,Device_1078,205.96,3
1079,L,Device_1079,242.53,3
1080,L,Device_1080,25.35,3
1081,L,Device_1081,267.67,1
1082,L,Device_1082,280.04,3
1083,L,Device_1083,193.76,3
1084,L,Device_1084,211.67,3
1085,L,Device_1085,174.67,2
1086,L,Device_1086,218.31,3
1087,L,Device_1087,158.06,1
1088,L,Device_1088,208.06,3
1089,L,Device_1089,140.81,1
1090,S,Device_1090,1212.12,0
1091,L,Device_1091,215.74,3
1092,L,Device_1092,210.66,3
1093,L,Device_1093,139.78,3
1094,L,Device_1094,193.61,3
1095,L,Device_1095,236.66,3
1096,L,Device_1096,146.64,2
1097,L,Device_1097,271.42,1
1098,L,Device_1098,112.66,1
1099,L,Device_1099,110.34,2
1100,L,Device_1100,131.01,1
1101,L,Device_1101,232.77,1
1102,L,Device_1102,147.92,1
1103,L,Device_1103,246.67,3
1104,L,Device_1104,146.78,2
1105,L,Device_1105,245.71,1
1106,L,Device_1106,174.46,1
1107,L,Device_1107,149.12,1
1108,L,Device_1108,258.03,1
1109,L,Device_1109,207.48,1
1110,L,Device_1110,285.21,3
1111,L,Device_1111,115.04,3
1112,L,Device_1112,292.14,3
1113,L,Device_1113,224.91,2
1114,S,Device_1114,1468.59,0
1115,L,Device_1115,140.95,3
1116,L,Device_1116,285.38,1
1117,L,Device_1117,202.27,3
1118,L,Device_1118,122.56,2
1119,L,Device_1119,204.34,1
1120,L,Device_1120,210.44,3
1121,L,Device_1121,174.42,1
1122,L,Device_1122,164.45,3
1123,L,Device_1123,193.38,1
1124,L,Device_1124,158.69,3
1125,L,Device_1125,194.04,1
1126,L,Device_1126,174.17,3
1127,L,Device_1127,166.12,3
1128,L,Device_1128,140.98,1
1129,S,Device_1129,1524.7,0
1130,L,Device_1130,220.2,1
1131,L,Device_1131,278.22,1
1132,L,Device_1132,157.98,3
1133,L,Device_1133,249.65,1
1134,L,Device_1134,196.8,3
1135,L,Device_1135,225.32,3
1136,L,Device_1136,151.42,1
1137,L,Device_1137,218.33,2
1138,L,Device_1138,191.72,2
1139,S,Device_1139,1340.87,0
1140,L,Device_1140,131.65,2
1141,L,Device_1141,222.29,1
1142,S,Device_1142,1669.62,0
1143,L,Device_1143,198.84,3
1144,L,Device_1144,198.76,1
1145,L,Device_1145,158.0,3
1146,L,Device_1146,279.13,3
1147,L,Device_1147,219.82,3
1148,L,Device_1148,173.61,2
1149,L,Device_1149,193.9,3
1150,L,Device_1150,199.83,1
1151,L,Device_1151,173.07,1
1152,L,Device_1152,243.62,3
1153,L,Device_1153,262.4,1
1154,L,Device_1154,274.49,3
1155,L,Device_1155,244.73,1
1156,L,Device_1156,187.51,1
1157,S,Device_1157,1328.56,0
1158,L,Device_1158,186.47,2
1159,L,Device_1159,237.72,1
1160,L,Device_1160,285.51,2
1161,L,Device_1161,191.84,3
1162,L,Device_1162,196.6,1
1163,S,Device_1163,1059.81,0
1164,S,Device_1164,1032.64,0
1165,L,Device_1165,165.42,1
1166,L,Device_1166,211.92,1
1167,L,Device_1167,201.12,3
1168,L,Device_1168,174.34,1
1169,L,Device_1169,250.75,1
1170,S,Device_1170,1660.21,0
1171,L,Device_1171,154.56,1
1172,L,Device_1172,279.65,1
1173,L,Device_1173,232.36,3
1174,L,Device_1174,151.26,1
1175,L,Device_1175,136.67,2
1176,L,Device_1176,100,
1177,S,Device_1177,1147.68,0
1178,L,Device_1178,102.38,3
1179,L,Device_1179,100,
1180,L,Device_1180,288.95,2
1181,L,Device_1181,293.49,1
1182,L,Device_1182,250.85,1
1183,L,Device_1183,241.94,3
1184,S,Device_1184,2059.87,0
1185,L,Device_1185,215.59,3
1186,L,Device_1186,167.98,3
1187,L,Device_1187,262.87,1
1188,S,Device_1188,1284.51,0
1189,L,Device_1189,170.0,2
1190,L,Device_1190,205.91,3
1191,L,Device_1191,222.56,3
1192,L,Device_1192,285.41,3
1193,S,Device_1193,1436.18,0
1194,L,Device_1194,249.34,2
1195,L,Device_1195,265.03,2
1196,L,Device_1196,232.82,3
1197,L,Device_1197,159.53,3
1198,L,Device_1198,210.7,1
1199,L,Device_1199,248.67,1
1200,L,Device_1200,232.7,1
1201,L,Device_1201,226.0,3
1202,S,Device_1202,1595.4,0
1203,L,Device_1203,,3
1204,L,Device_1204,237.74,1
1205,L,Device_1205,269.84,1
1206,L,Device_1206,137.5,2
1207,L,Device_1207,164.15,1
1208,L,Device_1208,253.08,1
1209,L,Device_1209,213.7,3
1210,L,Device_1210,163.97,3
1211,L,Device_1211,263.3,1
1212,L,Device_1212,243.92,1
1213,L,Device_1213,194.55,3
1214,L,Device_1214,181.39,2
1215,L,Device_1215,120.15,3
1216,L,Device_1216,223.02,3
1217,L,Device_1217,112.97,3
1218,L,Device_1218,189.42,2
1219,L,Device_1219,245.16,1
1220,L,Device_1220,143.75,1
1221,L,Device_1221,278.59,1
1222,L,Device_1222,151.53,3
1223,L,Device_1223,172.74,1
1224,L,Device_1224,309.39,1
1225,L,Device_1225,193.28,3
1226,S,Device_1226,1389.76,0
1227,L,Device_1227,218.97,3
1228,L,Device_1228,233.89,1
1229,L,Device_1229,210.23,2
1230,L,Device_1230,155.64,1
1231,L,Device_1231,66.94,3
1232,L,Device_1232,220.37,1
1233,L,Device_1233,210.57,2
1234,L,Device_1234,143.51,3
1235,L,Device_1235,316.8,1
1236,L,Device_1236,246.06,1
1237,L,Device_1237,189.68,1
1238,L,Device_1238,249.62,1
1239,L,Device_1239,105.78,3
1240,L,Device_1240,150.57,1
1241,L,Device_1241,281.91,1
1242,L,Device_1242,276.57,1
1243,L,Device_1243,192.81,2
1244,L,Device_1244,160.7,1
1245,L,Device_1245,262.05,1
1246,L,Device_1246,255.86,2
1247,L,Device_1247,192.3,3
1248,L,Device_1248,142.84,2
1249,L,Device_1249,214.24,2
1250,L,Device_1250,265.08,2
1251,L,Device_1251,186.14,3
1252,L,Device_1252,227.73,1
1253,L,Device_1253,180.28,3
1254,L,Device_1254,263.11,2
1255,L,Device_1255,205.59,3
1256,S,Device_1256,1552.24,0
1257,L,Device_1257,197.87,3
1258,L,Device_1258,251.57,3
1259,S,Device_1259,1453.15,0
1260,L,Device_1260,203.07,3
1261,L,Device_1261,190.84,3
1262,L,Device_1262,193.05,1
1263,L,Device_1263,234.72,2
1264,L,Device_1264,237.84,1
1265,L,Device_1265,214.64,3
1266,S,Device_1266,951.58,0
1267,L,Device_1267,316.71,1
1268,L,Device_1268,194.17,1
1269,L,Device_1269,189.48,1
1270,L,Device_1270,200.52,1
1271,L,Device_1271,169.43,3
1272,L,Device_1272,201.91,1
1273,L,Device_1273,191.27,3
1274,L,Device_1274,206.96,2
1275,L,Device_1275,248.7,1
1276,L,Device_1276,221.85,3
1277,L,Device_1277,203.38,1
1278,L,Device_1278,211.23,2
1279,L,Device_1279,202.07,2
1280,L,Device_1280,171.2,1
1281,L,Device_1281,219.48,3
1282,L,Device_1282,199.89,1
1283,L,Device_1283,239.16,2
1284,L,Device_1284,213.17,3
1285,S,Device_1285,1698.09,0
1286,L,Device_1286,247.58,3
1287,L,Device_1287,170.62,1
1288,L,Device_1288,178.84,1
1289,L,Device_1289,259.59,1
1290,S,Device_1290,1455.01,0
1291,L,Device_1291,298.95,3
1292,L,Device_1292,171.71,1
1293,L,Device_1293,225.03,1
1294,L,Device_1294,150.97,1
1295,L,Device_1295,134.44,3
1296,L,Device_1296,191.39,1
1297,S,Device_1297,1562.66,0
1298,L,Device_1298,181.09,1
1299,L,Device_1299,171.69,3
1300,L,Device_1300,39.85,1
1301,L,Device_1301,177.8,2
1302,L,Device_1302,218.15,1
1303,L,Device_1303,253.85,2
1304,S,Device_1304,1261.52,0
1305,S,Device_1305,1572.03,0
1306,L,Device_1306,217.55,1
1307,L,Device_1307,199.73,1
1308,L,Device_1308,209.95,1
1309,L,Device_1309,222.91,1
1310,L,Device_1310,250.9,1
1311,L,Device_1311,291.63,2
1312,L,Device_1312,172.2,1
1313,L,Device_1313,144.97,1
1314,L,Device_1314,179.34,1
1315,L,Device_1315,154.29,1
1316,L,Device_1316,149.79,1
1317,L,Device_1317,233.2,3
1318,L,Device_1318,243.89,3
1319,L,Device_1319,153.14,3
1320,L,,100,3
1321,L,Device_1321,288.1,1
1322,L,Device_1322,144.68,1
1323,L,Device_1323,238.56,1
1324,L,Device_1324,120.9,2
1325,L,Device_1325,296.02,2
1326,L,Device_1326,286.4,1
1327,L,Device_1327,61.28,3
1328,L,Device_1328,237.52,1
1329,L,Device_1329,245.63,1
1330,L,Device_1330,172.97,3
1331,L,Device_1331,171.01,3
1332,L,Device_1332,261.29,1
1333,L,Device_1333,226.12,3
1334,L,Device_1334,226.6,3
1335,L,Device_1335,164.9,1
1336,L,Device_1336,256.01,1
1337,L,Device_1337,135.59,1
1338,L,Device_1338,185.06,1
1339,L,Device_1339,165.65,1
1340,L,Device_1340,156.89,3
1341,L,Device_1341,169.97,1
1342,L,Device_1342,223.06,1
1343,L,Device_1343,189.3,3
1344,L,Device_1344,208.85,3
1345,L,Device_1345,224.75,1
1346,L,Device_1346,193.83,3
1347,L,Device_1347,189.92,3
1348,L,Device_1348,,3
1349,L,Device_1349,220.39,1
1350,L,Device_1350,197.9,1
1351,S,Device_1351,1366.7,0
1352,L,Device_1352,73.42,3
1353,L,Device_1353,212.35,1
1354,L,Device_1354,180.41,1
1355,L,Device_1355,152.94,2
1356,L,Device_1356,137.29,1
1357,L,Device_1357,188.44,1
1358,L,Device_1358,172.62,3
1359,S,Device_1359,1229.36,0
1360,S,Device_1360,1656.16,0
1361,L,Device_1361,218.05,3
1362,L,Device_1362,148.07,3
1363,L,Device_1363,204.96,3
1364,L,Device_1364,287.04,1
1365,L,Device_1365,216.6,1
1366,L,Device_1366,281.03,2
1367,,Device_1367,100,3
1368,L,Device_1368,146.94,1
1369,L,Device_1369,129.75,1
1370,L,Device_1370,163.67,3
1371,L,Device_1371,232.48,1
1372,L,Device_1372,145.25,1
1373,L,Device_1373,192.11,1
1374,L,Device_1374,224.49,3
1375,L,Device_1375,100.03,1
1376,L,Device_1376,244.07,3
1377,L,Device_1377,209.87,1
1378,L,Device_1378,228.43,3
1379,L,Device_1379,177.14,3
1380,L,Device_1380,221.79,3
1381,L,Device_1381,243.19,3
1382,L,Device_1382,227.8,2
1383,L,Device_1383,270.31,1
1384,L,Device_1384,229.23,3
1385,L,Device_1385,230.12,1
1386,L,Device_1386,244.84,1
1387,L,Device_1387,249.88,1
1388,L,Device_1388,272.7,1
1389,L,Device_1389,131.53,1
1390,L,Device_1390,190.45,3
1391,L,Device_1391,177.2,1
1392,L,Device_1392,232.65,2
1393,L,Device_1393,191.65,2
1394,L,Device_1394,194.84,1
1395,L,Device_1395,223.03,2
1396,L,Device_1396,300.15,2
1397,L,Device_1397,245.04,3
1398,L,Device_1398,153.75,1
1399,L,Device_1399,314.96,1
1400,L,Device_1400,207.86,1
1401,L,Device_1401,210.17,2
1402,L,Device_1402,100,
1403,L,Device_1403,231.54,3
1404,L,Device_1404,138.16,1
1405,L,Device_1405,200.49,1
1406,L,Device_1406,286.51,3
1407,L,Device_1407,139.44,1
1408,L,Device_1408,161.97,3
1409,L,Device_1409,135.73,3
1410,L,Device_1410,145.73,1
1411,L,Device_1411,184.04,1
1412,L,Device_1412,146.95,1
1413,L,Device_1413,148.72,3
1414,L,Device_1414,132.06,1
1415,L,Device_1415,150.66,3
1416,L,Device_1416,201.36,2
1417,L,Device_1417,184.93,3
1418,L,Device_1418,64.01,2
1419,L,Device_1419,140.56,1
1420,L,Device_1420,197.85,2
1421,L,Device_1421,158.84,1
1422,L,Device_1422,223.23,1
1423,L,Device_1423,180.23,3
1424,L,Device_1424,249.17,2
1425,L,Device_1425,178.15,1
1426,L,Device_1426,178.19,1
1427,L,Device_1427,258.09,1
1428,L,Device_1428,200.19,3
1429,L,Device_1429,302.68,3
1430,L,Device_1430,271.37,1
1431,L,Device_1431,245.18,1
1432,L,Device_1432,210.79,1
1433,L,Device_1433,287.81,1
1434,L,Device_1434,175.54,1
1435,L,Device_1435,252.18,1
1436,L,Device_1436,192.45,2
1437,L,Device_1437,164.58,3
1438,L,Device_1438,232.58,1
1439,L,Device_1439,173.25,1
1440,L,Device_1440,245.76,1
1441,L,Device_1441,171.8,1
1442,L,Device_1442,233.33,3
1443,L,Device_1443,193.6,1
1444,L,Device_1444,181.84,1
1445,S,Device_1445,1581.4,0
1446,L,Device_1446,190.71,3
1447,L,Device_1447,201.32,3
1448,L,Device_1448,263.06,1
1449,L,Device_1449,146.45,3
1450,L,Device_1450,182.11,1
1451,L,Device_1451,128.27,1
1452,S,Device_1452,1434.87,0
1453,L,Device_1453,174.01,1
1454,L,Device_1454,230.51,1
1455,L,Device_1455,280.99,1
1456,L,Device_1456,224.66,1
1457,L,Device_1457,223.12,1
1458,L,Device_1458,199.14,3
1459,L,Device_1459,198.76,1
1460,L,Device_1460,107.27,3
1461,L,Device_1461,148.57,2
1462,L,Device_1462,257.51,1
1463,L,Device_1463,150.73,3
1464,L,Device_1464,202.74,2
1465,L,Device_1465,134.65,3
1466,L,Device_1466,191.92,1
1467,L,Device_1467,145.76,1
1468,L,Device_1468,203.62,1
1469,L,Device_1469,214.73,3
1470,L,Device_1470,149.36,1
1471,L,Device_1471,227.42,1
1472,L,Device_1472,266.32,3
1473,L,Device_1473,162.07,1
1474,L,Device_1474,126.82,3
1475,L,Device_1475,152.3,1
1476,L,Device_1476,252.18,1
1477,L,Device_1477,129.83,3
1478,L,Device_1478,174.72,2
1479,L,Device_1479,139.52,2
1480,L,Device_1480,184.47,1
1481,L,Device_1481,184.18,1
1482,L,Device_1482,180.99,3
1483,L,Device_1483,265.46,3
1484,L,Device_1484,179.36,1
1485,L,Device_1485,150.77,2
1486,L,Device_1486,167.61,1
1487,S,Device_1487,1518.27,0
1488,L,Device_1488,187.03,1
1489,L,Device_1489,166.5,1
1490,L,Device_1490,210.04,1
1491,L,Device_1491,130.88,3
1492,L,Device_1492,191.0,1
1493,L,Device_1493,178.12,1
1494,L,Device_1494,162.61,2
1495,L,Device_1495,246.65,3
1496,L,Device_1496,132.67,1
1497,L,Device_1497,225.98,3
1498,L,Device_1498,305.52,3
1499,L,Device_1499,240.97,2
1500,L,Device_1500,146.6,1
1501,L,Device_1501,182.67,2
1502,L,Device_1502,170.71,1
1503,L,Device_1503,237.58,1
1504,L,Device_1504,169.07,1
1505,L,Device_1505,163.27,1
1506,L,,100,3
1507,L,Device_1507,234.75,1
1508,L,Device_1508,251.29,3
1509,L,Device_1509,169.53,2
1510,L,Device_1510,201.0,1
1511,L,Device_1511,206.74,3
1512,L,Device_1512,172.43,3
1513,L,Device_1513,222.6,2
1514,S,Device_1514,1542.13,0
1515,L,Device_1515,169.65,1
1516,L,Device_1516,139.28,2
1517,L,Device_1517,245.55,3
1518,L,Device_1518,157.45,2
1519,L,Device_1519,242.84,1
1520,L,Device_1520,184.22,3
1521,L,Device_1521,97.34,3
1522,L,Device_1522,305.12,3
1523,L,Device_1523,100.74,1
1524,L,Device_1524,117.54,1
1525,L,Device_1525,222.63,2
1526,L,Device_1526,138.09,1
1527,L,Device_1527,290.53,3
1528,L,Device_1528,186.71,1
1529,L,Device_1529,128.92,1
1530,L,Device_1530,136.2,2
1531,S,Device_1531,1382.72,0
1532,L,Device_1532,199.35,3
1533,L,Device_1533,201.69,1
1534,L,Device_1534,134.15,1
1535,L,Device_1535,158.6,3
1536,L,Device_1536,239.78,3
1537,L,Device_1537,133.81,1
1538,L,Device_1538,194.52,1
1539,L,Device_1539,267.32,1
1540,L,Device_1540,160.76,1
1541,L,Device_1541,196.3,1
1542,L,Device_1542,170.81,3
1543,L,Device_1543,222.18,1
1544,L,Device_1544,197.31,2
1545,L,Device_1545,197.81,3
1546,L,Device_1546,225.72,3
1547,L,Device_1547,184.9,1
1548,L,Device_1548,166.9,1
1549,L,Device_1549,282.78,1
1550,L,Device_1550,159.23,1
1551,L,Device_1551,178.92,1
1552,L,Device_1552,105.11,1
1553,L,Device_1553,120.49,3
1554,L,Device_1554,119.84,2
1555,L,Device_1555,257.28,1
1556,L,Device_1556,278.49,2
1557,L,Device_1557,261.85,3
1558,L,Device_1558,156.05,3
1559,L,Device_1559,249.32,1
1560,L,Device_1560,303.87,3
1561,L,Device_1561,153.58,1
1562,L,Device_1562,224.43,1
1563,L,Device_1563,256.6,3
1564,S,Device_1564,1328.64,0
1565,L,Device_1565,258.26,1
1566,L,Device_1566,230.53,3
1567,L,Device_1567,238.44,1
1568,S,Device_1568,1298.31,0
1569,L,Device_1569,250.76,2
1570,L,Device_1570,138.54,3
1571,L,Device_1571,133.99,1
1572,L,Device_1572,257.28,3
1573,L,Device_1573,170.07,1
1574,L,Device_1574,202.13,2
1575,L,Device_1575,169.07,3
1576,L,Device_1576,195.74,1
1577,L,Device_1577,232.99,3
1578,L,Device_1578,259.84,3
1579,L,Device_1579,265.42,3
1580,L,Device_1580,158.45,2
1581,L,Device_1581,172.19,3
1582,L,Device_1582,209.34,1
1583,L,Device_1583,156.53,3
1584,L,Device_1584,162.92,1
1585,L,Device_1585,234.37,3
1586,S,Device_1586,1758.09,0
1587,L,Device_1587,202.63,2
1588,S,Device_1588,1691.29,0
1589,L,Device_1589,187.75,1
1590,L,Device_1590,272.92,2
1591,L,Device_1591,327.2,1
1592,S,Device_1592,1501.92,0
1593,S,Device_1593,1296.91,0
1594,L,Device_1594,227.54,1
1595,L,Device_1595,232.81,3
1596,L,Device_1596,226.76,2
1597,L,Device_1597,164.44,1
1598,L,Device_1598,208.6,1
1599,L,Device_1599,175.92,1
1600,L,Device_1600,229.36,3
1601,L,Device_1601,248.04,1
1602,L,Device_1602,214.84,1
1603,L,Device_1603,238.08,1
1604,L,Device_1604,227.95,1
1605,L,Device_1605,155.06,1
1606,L,Device_1606,179.91,3
1607,L,Device_1607,287.37,3
1608,L,Device_1608,192.27,2
1609,L,Device_1609,265.03,1
1610,L,Device_1610,269.65,2
1611,L,Device_1611,236.09,2
1612,L,Device_1612,167.13,1
1613,L,Device_1613,296.83,3
1614,L,Device_1614,232.22,3
1615,S,Device_1615,1718.74,0
1616,L,Device_1616,280.36,3
1617,L,Device_1617,306.6,3
1618,L,Device_1618,129.2,3
1619,L,Device_1619,172.34,1
1620,L,Device_1620,214.02,1
1621,L,Device_1621,303.74,1
1622,L,Device_1622,165.62,2
1623,L,Device_1623,312.16,1
1624,L,Device_1624,203.25,3
1625,L,Device_1625,215.53,1
1626,L,Device_1626,168.53,1
1627,L,Device_1627,177.62,2
1628,L,Device_1628,157.94,1
1629,L,Device_1629,255.6,3
1630,L,Device_1630,227.11,1
1631,L,Device_1631,168.44,2
1632,L,Device_1632,172.98,1
1633,L,Device_1633,283.18,3
1634,L,Device_1634,131.91,1
1635,L,Device_1635,174.66,1
1636,L,Device_1636,225.38,1
1637,L,Device_1637,200.98,2
1638,L,Device_1638,232.52,2
1639,L,Device_1639,115.09,1
1640,L,Device_1640,162.94,1
1641,L,Device_1641,240.0,3
1642,L,Device_1642,110.81,3
1643,L,Device_1643,156.21,1
1644,L,Device_1644,111.98,1
1645,L,Device_1645,181.57,1
1646,L,Device_1646,187.14,1
1647,L,Device_1647,143.82,1
1648,L,Device_1648,218.2,1
1649,L,Device_1649,177.68,1
1650,L,Device_1650,214.6,1
1651,L,Device_1651,210.99,1
1652,L,Device_1652,139.71,3
1653,L,Device_1653,211.16,3
1654,L,Device_1654,289.71,1
1655,L,Device_1655,253.0,3
1656,L,Device_1656,191.01,3
1657,L,Device_1657,255.9,1
1658,L,Device_1658,165.87,1
1659,L,Device_1659,215.36,1
1660,L,Device_1660,166.31,3
1661,L,Device_1661,240.58,1
1662,L,Device_1662,252.32,3
1663,L,Device_1663,100,
1664,L,Device_1664,125.59,1
1665,L,Device_1665,231.19,3
1666,L,Device_1666,106.02,1
1667,L,Device_1667,125.08,1
1668,L,Device_1668,96.16,1
1669,L,Device_1669,159.28,3
1670,L,Device_1670,149.31,2
1671,L,Device_1671,306.83,3
1672,L,Device_1672,,3
1673,L,Device_1673,258.97,3
1674,L,Device_1674,194.59,2
1675,L,Device_1675,210.58,1
1676,L,Device_1676,166.32,3
1677,L,Device_1677,164.06,2
1678,L,Device_1678,215.53,1
1679,,Device_1679,100,3
1680,L,Device_1680,178.25,1
1681,L,Device_1681,262.74,3
1682,L,Device_1682,163.02,1
1683,L,Device_1683,344.91,3
1684,L,Device_1684,161.88,1
1685,L,Device_1685,133.68,1
1686,L,Device_1686,168.58,1
1687,L,Device_1687,241.2,1
1688,L,Device_1688,265.43,1
1689,L,Device_1689,254.85,3
1690,L,Device_1690,174.51,1
1691,L,Device_1691,156.7,3
1692,,Device_1692,100,3
1693,L,Device_1693,155.35,2
1694,L,Device_1694,239.28,1
1695,L,Device_1695,227.02,3
1696,L,Device_1696,173.62,1
1697,L,Device_1697,213.69,3
1698,L,Device_1698,160.0,1
1699,L,Device_1699,222.39,1
1700,L,Device_1700,159.96,1
1701,S,Device_1701,1362.25,0
1702,L,Device_1702,190.4,1
1703,L,Device_1703,270.35,3
1704,L,Device_1704,272.7,1
1705,L,Device_1705,161.81,2
1706,L,Device_1706,191.21,3
1707,,Device_1707,100,3
1708,L,Device_1708,226.8,3
1709,L,Device_1709,213.91,1
1710,L,Device_1710,231.13,3
1711,L,Device_1711,217.31,1
1712,L,Device_1712,123.73,1
1713,L,Device_1713,97.38,1
1714,S,Device_1714,1682.06,0
1715,L,Device_1715,208.26,1
1716,L,Device_1716,153.73,3
1717,L,Device_1717,178.57,2
1718,L,Device_1718,129.07,1
1719,L,Device_1719,230.25,1
1720,L,Device_1720,157.36,1
1721,L,Device_1721,159.32,2
1722,L,Device_1722,301.77,3
1723,L,Device_1723,181.86,3
1724,L,Device_1724,168.49,1
1725,L,Device_1725,129.66,1
1726,L,Device_1726,200.07,3
1727,L,Device_1727,177.66,2
1728,L,Device_1728,169.97,1
1729,L,Device_1729,138.04,1
1730,L,Device_1730,182.41,3
1731,L,Device_1731,203.64,3
1732,L,Device_1732,206.41,2
1733,L,Device_1733,245.76,1
1734,L,Device_1734,220.69,2
1735,L,Device_1735,148.21,1
1736,L,Device_1736,208.94,1
1737,S,Device_1737,1459.85,0
1738,L,Device_1738,219.94,1
1739,L,Device_1739,194.78,1
1740,L,Device_1740,195.56,1
1741,L,Device_1741,237.48,2
1742,L,Device_1742,210.46,2
1743,L,Device_1743,180.86,1
1744,L,Device_1744,225.38,1
1745,L,Device_1745,160.7,1
1746,L,Device_1746,174.61,1
1747,L,Device_1747,122.29,2
1748,L,Device_1748,156.4,1
1749,L,Device_1749,247.03,3
1750,L,Device_1750,218.81,1
1751,L,Device_1751,266.38,3
1752,L,Device_1752,100,
1753,L,Device_1753,219.61,3
1754,S,Device_1754,1264.99,0
1755,L,Device_1755,226.98,2
1756,L,Device_1756,61.87,3
1757,L,Device_1757,174.79,1
1758,L,Device_1758,86.24,3
1759,L,Device_1759,260.16,1
1760,L,Device_1760,191.96,3
1761,L,Device_1761,146.66,1
1762,L,Device_1762,215.88,2
1763,L,Device_1763,258.04,3
